"","NN","ARX","SVM_NS","SVM_SC","RF_NS","RF_SC"
"MAE",0.0926137596300817,0.232288759371131,2.36968863448644,0.24401436398019,0.191471377314812,0.185489831018518
"MAXAE",0.453478201543433,0.776835424337554,12.869072860379,1.55719168226385,0.763332333333329,0.721661000000003
"MSE",0.015964065968707,0.0815517567590822,12.1708156004486,0.139205428701853,0.0681757398011663,0.0580129699488896
"RMSE",0.126348984834493,0.285572682095263,3.48866960322249,0.373102437276752,0.261104844461313,0.24085881746137
